,Tweet,sentimen,clean_link,hapus_punc,substitute_slang,stemming,eliminate_stop_with_stemming,eliminate_stop_without_stemming
228,"rt @aniesbaswedan: ibu, terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran, karakter dan semangat untuk berju\u2026 ",1," ibu, terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran, karakter dan semangat untuk berju\u2026 ", ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk berjuu ,ibu terima kasih atas doa dan kumpulan pelajaran yang telah membangun pemikiran karakter dan semangat untuk berjuu,ibu terima kasih atas doa dan kumpul ajar yang telah bangun pikir karakter dan semangat untuk berjuu,terima kasih doa kumpul ajar bangun pikir karakter semangat berjuu,terima kasih doa kumpulan pelajaran membangun pemikiran karakter semangat berjuu
229,"rt @gitamontolalu: kami ingin melayani karena \""rakyat adalah boss kami\"" #ahokdjarot #basukidjarot #debat2pilkadadki pls rt\u2026 ",1," kami ingin melayani karena \""rakyat adalah boss kami\"" #ahokdjarot #basukidjarot #debat2pilkadadki pls rt\u2026 ", kami ingin melayani karena rakyat adalah boss kami ahokdjarot basukidjarot debatpilkadadki pls rtu ,kami ingin melayani karena rakyat adalah bos kami ahokdjarot basukidjarot debatpilkadadki pls rtu,kami ingin layan karena rakyat adalah bos kami ahokdjarot basukidjarot debatpilkadadki pls rtu,layan rakyat bos ahokdjarot basukidjarot debatpilkadadki pls rtu,melayani rakyat bos ahokdjarot basukidjarot debatpilkadadki pls rtu
230,rt @tweetparpol: ini harga per-berita wartawan yang dipelihara oleh pdip https:\/\/t.co\/e1s4uozeo7\n\n #debat2pilkadadki,1, ini harga per-berita wartawan yang dipelihara oleh pdip  #debat2pilkadadki, ini harga perberita wartawan yang dipelihara oleh pdip  debatpilkadadki,ini harga perberita wartawan yang dipelihara oleh pdip debatpilkadadki,ini harga berita wartawan yang pelihara oleh pdip debatpilkadadki,harga berita wartawan pelihara pdip debatpilkadadki,harga perberita wartawan dipelihara pdip debatpilkadadki
231,"rt @teddygusnaidi: yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ",1," yang dikiri dia pikir dia ariel, yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau.. hahaha!!\u2026 ", yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tau hahahau ,yang dikiri dia pikir dia ariel yang ditengah dia pikir dia orangtua dan yang dikanan dia pikir dia tahu hahahau,yang kiri dia pikir dia ariel yang tengah dia pikir dia orangtua dan yang kan dia pikir dia tahu hahahau,kiri pikir ariel pikir orangtua pikir hahahau,dikiri pikir ariel ditengah pikir orangtua dikanan pikir hahahau
232,"rt @gunromli: sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026",1," sylviana kesyikan ngomong sendiri lupa bertanya, anies keasyikan nyerang pake data2 yg salah, ya ahok joged2 aja \ud83d\ude01 #debat2pil\u2026", sylviana kesyikan ngomong sendiri lupa bertanya anies keasyikan nyerang pake data yg salah ya ahok joged aja uddude debatpilu,sylviana kesyikan mengomong sendiri lupa bertanya anies keasyikan menyerang pakai data yang salah ya ahok joged saja uddude debatpilu,sylviana kesyikan omong sendiri lupa tanya anies asyik serang pakai data yang salah ya ahok joged saja uddude debatpilu,sylviana kesyikan omong lupa anies asyik serang pakai data salah ya ahok joged uddude debatpilu,sylviana kesyikan mengomong lupa anies keasyikan menyerang pakai data salah ya ahok joged uddude debatpilu
233,rt @richardotio: bangkeeeeee.. siapa nih yang buat meme seperti ini? gw ngakak brutal sampai planet jupiter... hahahahaha..\u2026 ,1, bangkeeeeee.. siapa nih yang buat meme seperti ini? gw ngakak brutal sampai planet jupiter... hahahahaha..\u2026 , bangkeeeeee siapa nih yang buat meme seperti ini gw ngakak brutal sampai planet jupiter hahahahahau ,bangkee siapa nih yang buat meme seperti ini saya mengakak brutal sampai planet jupiter hahahahahau,bangkee siapa nih yang buat meme seperti ini saya akak brutal sampai planet jupiter hahahahahau,bangkee nih meme akak brutal planet jupiter hahahahahau,bangkee nih meme mengakak brutal planet jupiter hahahahahau
234,rt @adib_ajalah: akhirnya publik pun tau mna yg layak dan teruji @basuki_btp #debat2pilkadadki https:\/\/t.co\/nppxo6unzs,1, akhirnya publik pun tau mna yg layak dan teruji  #debat2pilkadadki , akhirnya publik pun tau mna yg layak dan teruji  debatpilkadadki ,akhirnya publik pun tahu mana yang layak dan teruji debatpilkadadki,akhir publik pun tahu mana yang layak dan uji debatpilkadadki,publik layak uji debatpilkadadki,publik layak teruji debatpilkadadki
235,"rt @widino: #debat2pilkadadki skak mat untuk mpok silvi, si mpok langsung acung ibu jempol ke bawah. duhh jaga etika mpok malu ditonton jut\u2026",0," #debat2pilkadadki skak mat untuk mpok silvi, si mpok langsung acung ibu jempol ke bawah. duhh jaga etika mpok malu ditonton jut\u2026", debatpilkadadki skak mat untuk mpok silvi si mpok langsung acung ibu jempol ke bawah duhh jaga etika mpok malu ditonton jutu,debatpilkadadki skak mat untuk mpok silvi sih mpok langsung acung ibu jempol ke bawah duh jaga etika mpok malu ditonton jutu,debatpilkadadki skak mat untuk mpok silvi sih mpok langsung acung ibu jempol ke bawah duh jaga etika mpok malu tonton jutu,debatpilkadadki skak mat mpok silvi sih mpok langsung acung jempol duh jaga etika mpok malu tonton jutu,debatpilkadadki skak mat mpok silvi sih mpok langsung acung jempol duh jaga etika mpok malu ditonton jutu
236,"rt @drenattas: buruk attitude bu sylvi, dengar jawaban pak ahok, buat gestur jempol ke bawah. wow!  #debat2pilkadadki",0," buruk attitude bu sylvi, dengar jawaban pak ahok, buat gestur jempol ke bawah. wow!  #debat2pilkadadki", buruk attitude bu sylvi dengar jawaban pak ahok buat gestur jempol ke bawah wow  debatpilkadadki,buruk attitude bu sylvi dengar jawaban pak ahok buat gestur jempol ke bawah wow debatpilkadadki,buruk attitude bu sylvi dengar jawab pak ahok buat gestur jempol ke bawah wow debatpilkadadki,buruk attitude bu sylvi dengar ahok gestur jempol wow debatpilkadadki,buruk attitude bu sylvi dengar ahok gestur jempol wow debatpilkadadki
237,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,0, 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang miskinu,kalau gunakan fantasi agus maka agus bisa menuding bahwa surabaya tidak beres memimpin tahun masih banyak yang miskinu,kalau guna fantasi agus maka agus bisa tuding bahwa surabaya tidak beres pimpin tahun masih banyak yang miskinu,fantasi agus agus tuding surabaya beres pimpin miskinu,fantasi agus agus menuding surabaya beres memimpin miskinu
238,"rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",0," 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakartu,kalau gunakan fantasi anies maka anies bisa menuding bahwa ali sadikin bapaknya boy sadikin tidak beres memimpin jakartu,kalau guna fantasi anies maka anies bisa tuding bahwa ali sadikin bapak boy sadikin tidak beres pimpin jakartu,fantasi anies anies tuding ali sadikin boy sadikin beres pimpin jakartu,fantasi anies anies menuding ali sadikin bapaknya boy sadikin beres memimpin jakartu
239,"rt @putrirosary: #debat2pilkadadki cara paslon 3 bertanya ke paslon 1 seperti sedang mengadu domba didepan jutaan pasang mata tanpa etika,\u2026",0," #debat2pilkadadki cara paslon 3 bertanya ke paslon 1 seperti sedang mengadu domba didepan jutaan pasang mata tanpa etika,\u2026", debatpilkadadki cara paslon  bertanya ke paslon  seperti sedang mengadu domba didepan jutaan pasang mata tanpa etikau,debatpilkadadki cara paslon bertanya ke paslon seperti sedang mengadu domba didepan jutaan pasang mata tanpa etikau,debatpilkadadki cara paslon tanya ke paslon seperti sedang adu domba depan juta pasang mata tanpa etikau,debatpilkadadki paslon paslon adu domba juta pasang mata etikau,debatpilkadadki paslon paslon mengadu domba didepan jutaan pasang mata etikau
240,rt @pbenyw: mpok @sylviana_murni salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 ,0, mpok  salah sebut dg uu no 8 terkait pengelolaan sampah. padahal yg benar uu 18\/2008.\u2026 , mpok  salah sebut dg uu no  terkait pengelolaan sampah padahal yg benar uu u ,mpok salah sebut dengan uu no terkait pengelolaan sampah padahal yang benar uu kamu,mpok salah sebut dengan uu no kait kelola sampah padahal yang benar uu kamu,mpok salah uu no kait kelola sampah uu,mpok salah uu no terkait pengelolaan sampah uu
241,"rt @hapsom: satu2nya statement agus yang saya setuju dan dimengerti, \"" bertanya kepada paslon 1, untuk menyerang no. 2... hahahaha! #debat2\u2026",0," satu2nya statement agus yang saya setuju dan dimengerti, \"" bertanya kepada paslon 1, untuk menyerang no. 2... hahahaha! #debat2\u2026", satunya statement agus yang saya setuju dan dimengerti  bertanya kepada paslon  untuk menyerang no  hahahaha debatu,satunya statement agus yang saya setuju dan dimengerti bertanya kepada paslon untuk menyerang no hahahaha debatu,satu statement agus yang saya tuju dan erti tanya kepada paslon untuk serang no hahahaha debatu,statement agus tuju erti paslon serang no hahahaha debatu,satunya statement agus setuju dimengerti paslon menyerang no hahahaha debatu
242,"aduh gw mah malu, di kata orang jkt goblok apa https:\/\/t.co\/te8nrgszzc",0,"aduh gw mah malu, di kata orang jkt goblok apa ",aduh gw mah malu di kata orang jkt goblok apa ,aduh saya mah malu di kata orang jakarta goblok apa,aduh saya mah malu di kata orang jakarta goblok apa,aduh mah malu orang jakarta goblok,aduh mah malu orang jakarta goblok
243,"rt @jokoanwar: ahok: kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi. kami sudah lakukan. kami hilangkan pungli, dsb. #d\u2026",1," ahok: kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi. kami sudah lakukan. kami hilangkan pungli, dsb. #d\u2026", ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah lakukan kami hilangkan pungli dsb du,ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah lakukan kami hilangkan pungli dsb du,ahok kami bukan saja rencana lawan ketidakadilan sosial dalam birokrasi kami sudah laku kami hilang pungli dsb du,ahok rencana lawan ketidakadilan sosial birokrasi laku hilang pungli dsb du,ahok rencana lawan ketidakadilan sosial birokrasi lakukan hilangkan pungli dsb du
244,semua orang sudah pintar kok jangan buang uang dan waktu sia sia #debat2pilkadadki,1,semua orang sudah pintar kok jangan buang uang dan waktu sia sia #debat2pilkadadki,semua orang sudah pintar kok jangan buang uang dan waktu sia sia debatpilkadadki,semua orang sudah pintar kok jangan buang uang dan waktu sia sia debatpilkadadki,semua orang sudah pintar kok jangan buang uang dan waktu sia sia debatpilkadadki,orang pintar buang uang sia sia debatpilkadadki,orang pintar buang uang sia sia debatpilkadadki
245,rt @jokoanwar: waduh. beneran kayaknya data dari ibu susanti. #debat2pilkadadki https:\/\/t.co\/ak4mdqpx4o,0, waduh. beneran kayaknya data dari ibu susanti. #debat2pilkadadki , waduh beneran kayaknya data dari ibu susanti debatpilkadadki ,waduh benaran kayaknya data dari ibu susanti debatpilkadadki,waduh benar kayak data dari ibu susanti debatpilkadadki,kayak data susanti debatpilkadadki,benaran kayaknya data susanti debatpilkadadki
246,rt @jokoanwar: anies: \u201cnamanya sunda kelapa. tapi mana kelapanya?\u201d\n\n#debat2pilkadadki https:\/\/t.co\/cwy8xc9c4v,0, anies: \u201cnamanya sunda kelapa. tapi mana kelapanya?\u201d\n\n#debat2pilkadadki , anies ucnamanya sunda kelapa tapi mana kelapanyaudnndebatpilkadadki ,anies ucnamanya sunda kelapa tapi mana kelapanyaudnndebatpilkadadki,anies ucnamanya sunda kelapa tapi mana kelapanyaudnndebatpilkadadki,anies ucnamanya sunda kelapa kelapanyaudnndebatpilkadadki,anies ucnamanya sunda kelapa kelapanyaudnndebatpilkadadki
247,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026,0, terbukti ucapan ahok bhw kementerian  dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \n, terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  debatpilkadadki n,terbukti ucapan ahok bahwa kementerian dapat raport paling buruk di peringkat debatpilkadadki n,bukti ucap ahok bahwa menteri dapat raport paling buruk di peringkat debatpilkadadki n,bukti ahok menteri raport buruk peringkat debatpilkadadki n,terbukti ucapan ahok kementerian raport buruk peringkat debatpilkadadki n
248,#debat2pilkadadki semakin terlihat no 2 tidak layak memimpin. ada yg sdg berselisih malah diketawain dan diadu pula..,0,#debat2pilkadadki semakin terlihat no 2 tidak layak memimpin. ada yg sdg berselisih malah diketawain dan diadu pula..,debatpilkadadki semakin terlihat no  tidak layak memimpin ada yg sdg berselisih malah diketawain dan diadu pula,debatpilkadadki semakin terlihat no tidak layak memimpin ada yang sedang berselisih malah diketawain dan diadu pula,debatpilkadadki makin lihat no tidak layak pimpin ada yang sedang selisih malah diketawain dan adu pula,debatpilkadadki lihat no layak pimpin selisih diketawain adu,debatpilkadadki no layak memimpin berselisih diketawain diadu
249,"rt @teddygusnaidi: 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026",0," 15. ketidakberhasilan anies baswedan dalam memimpin kementerian, banyak masalah dan belum lagi soal salah hitung anggara\u2026",  ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung anggarau,ketidakberhasilan anies baswedan dalam memimpin kementerian banyak masalah dan belum lagi soal salah hitung anggarau,ketidakberhasilan anies baswedan dalam pimpin menteri banyak masalah dan belum lagi soal salah hitung anggarau,ketidakberhasilan anies baswedan pimpin menteri salah hitung anggarau,ketidakberhasilan anies baswedan memimpin kementerian salah hitung anggarau
250,"rt @teddygusnaidi: 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026",0," 16. anies baswedan hanya mengurus satu urusan saja berantakan, bagaimana dia bisa berfantasi menyelesaikan banyak urusan\u2026",  anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusanu,anies baswedan hanya mengurus satu urusan saja berantakan bagaimana dia bisa berfantasi menyelesaikan banyak urusanu,anies baswedan hanya urus satu urus saja beranta bagaimana dia bisa fantasi selesai banyak urusanu,anies baswedan urus urus beranta fantasi selesai urusanu,anies baswedan mengurus urusan berantakan berfantasi menyelesaikan urusanu
251,"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/ckwikzj8yr #debat2pilkadadki https:\/\/t.co\/egsrpxme9u",0,"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!...  #debat2pilkadadki ",pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  debatpilkadadki ,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap pilih nomor bahaya laten komunis debatpilkadadki
252,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,0, 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang miskinu,kalau gunakan fantasi agus maka agus bisa menuding bahwa surabaya tidak beres memimpin tahun masih banyak yang miskinu,kalau guna fantasi agus maka agus bisa tuding bahwa surabaya tidak beres pimpin tahun masih banyak yang miskinu,fantasi agus agus tuding surabaya beres pimpin miskinu,fantasi agus agus menuding surabaya beres memimpin miskinu
253,"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/ww5gcbpco1 #debat2pilkadadki https:\/\/t.co\/85gavg2nqa",0,"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!...  #debat2pilkadadki ",pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  debatpilkadadki ,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap pilih nomor bahaya laten komunis debatpilkadadki
254,"rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",0," 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakartu,kalau gunakan fantasi anies maka anies bisa menuding bahwa ali sadikin bapaknya boy sadikin tidak beres memimpin jakartu,kalau guna fantasi anies maka anies bisa tuding bahwa ali sadikin bapak boy sadikin tidak beres pimpin jakartu,fantasi anies anies tuding ali sadikin boy sadikin beres pimpin jakartu,fantasi anies anies menuding ali sadikin bapaknya boy sadikin beres memimpin jakartu
255,"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!... https:\/\/t.co\/bwjy3zh9il #debat2pilkadadki https:\/\/t.co\/r9qkrvxr8g",0,"pilkada dki jakarta harap tidak pilih nomor 2, bahaya laten komunis!...  #debat2pilkadadki ",pilkada dki jakarta harap tidak pilih nomor  bahaya laten komunis  debatpilkadadki ,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap tidak pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap pilih nomor bahaya laten komunis debatpilkadadki,pilkada dki jakarta harap pilih nomor bahaya laten komunis debatpilkadadki
256,rt @preettysintaa: paslon 1 : berangkat dari orang tua\npaslon2 : berangkat dari pengalaman\npaslon 3 : berangkat dari teori\n\n#debat2pilkadad\u2026,0, paslon 1 : berangkat dari orang tua\npaslon2 : berangkat dari pengalaman\npaslon 3 : berangkat dari teori\n\n#debat2pilkadad\u2026, paslon   berangkat dari orang tuanpaslon  berangkat dari pengalamannpaslon   berangkat dari teorinndebatpilkadadu,paslon berangkat dari orang tuanpaslon berangkat dari pengalamannpaslon berangkat dari teorinndebatpilkadadu,paslon berangkat dari orang tuanpaslon berangkat dari pengalamannpaslon berangkat dari teorinndebatpilkadadu,paslon berangkat orang tuanpaslon berangkat pengalamannpaslon berangkat teorinndebatpilkadadu,paslon berangkat orang tuanpaslon berangkat pengalamannpaslon berangkat teorinndebatpilkadadu
257,"nah sekarang saya bisa membayangkan koruptor dirangkul, tikus berpesta, rumah kumuh dilukis... untung cuma bayangan\u2026 https:\/\/t.co\/t7duiaxt9y",0,"nah sekarang saya bisa membayangkan koruptor dirangkul, tikus berpesta, rumah kumuh dilukis... untung cuma bayangan\u2026 ",nah sekarang saya bisa membayangkan koruptor dirangkul tikus berpesta rumah kumuh dilukis untung cuma bayanganu ,nah sekarang saya bisa membayangkan koruptor dirangkul tikus berpesta rumah kumuh dilukis untung cuma bayanganu,nah sekarang saya bisa bayang koruptor rangkul tikus pesta rumah kumuh luk untung cuma bayanganu,bayang koruptor rangkul tikus pesta rumah kumuh luk untung bayanganu,membayangkan koruptor dirangkul tikus berpesta rumah kumuh dilukis untung bayanganu
258,rt @teddygusnaidi: 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,0, 27. kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin. 10 tahun masih banyak yang miskin\u2026,  kalau gunakan fantasi agus maka agus bisa menuding bahwa sby tidak beres memimpin  tahun masih banyak yang miskinu,kalau gunakan fantasi agus maka agus bisa menuding bahwa surabaya tidak beres memimpin tahun masih banyak yang miskinu,kalau guna fantasi agus maka agus bisa tuding bahwa surabaya tidak beres pimpin tahun masih banyak yang miskinu,fantasi agus agus tuding surabaya beres pimpin miskinu,fantasi agus agus menuding surabaya beres memimpin miskinu
259,"rt @kamvflase: setelah menyaksikan #debat2pilkadadki semalam, siapa yang paling pantas untuk memimpin dki jakarta?",1," setelah menyaksikan #debat2pilkadadki semalam, siapa yang paling pantas untuk memimpin dki jakarta?", setelah menyaksikan debatpilkadadki semalam siapa yang paling pantas untuk memimpin dki jakarta,setelah menyaksikan debatpilkadadki semalam siapa yang paling pantas untuk memimpin dki jakarta,telah saksi debatpilkadadki malam siapa yang paling pantas untuk pimpin dki jakarta,saksi debatpilkadadki malam pimpin dki jakarta,menyaksikan debatpilkadadki semalam memimpin dki jakarta
260,rt @pandji: ini artikel yg menjelaskan ternyata di #debat2pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce https:\/\/t.co\u2026,1, ini artikel yg menjelaskan ternyata di #debat2pilkadadki yg dapet respon positif di socmed adalah #aniessandiokoce , ini artikel yg menjelaskan ternyata di debatpilkadadki yg dapet respon positif di socmed adalah aniessandiokoce ,ini artikel yang menjelaskan ternyata di debatpilkadadki yang dapat respon positif di socmed adalah aniessandiokoce,ini artikel yang jelas nyata di debatpilkadadki yang dapat respon positif di socmed adalah aniessandiokoce,artikel nyata debatpilkadadki respon positif socmed aniessandiokoce,artikel debatpilkadadki respon positif socmed aniessandiokoce
261,"rt @jokoanwar: tiap ahok djarot ngomong, nambah ilmu ya kita. #debat2pilkadadki https:\/\/t.co\/xwwrnalpbu",1," tiap ahok djarot ngomong, nambah ilmu ya kita. #debat2pilkadadki ", tiap ahok djarot ngomong nambah ilmu ya kita debatpilkadadki ,tiap ahok djarot mengomong bertambah ilmu ya kita debatpilkadadki,tiap ahok djarot omong tambah ilmu ya kita debatpilkadadki,ahok djarot omong ilmu ya debatpilkadadki,ahok djarot mengomong bertambah ilmu ya debatpilkadadki
262,"rt @nci4ri: pasca #debat2pilkadadki kena batunya, @agusyudhoyono dibentak kapolres jakarta selatan, karena bikin macet jalan.\nhttps:\/\/t.co\/\u2026",0," pasca #debat2pilkadadki kena batunya,  dibentak kapolres jakarta selatan, karena bikin macet jalan.\n", pasca debatpilkadadki kena batunya  dibentak kapolres jakarta selatan karena bikin macet jalann,pasca debatpilkadadki kena batunya dibentak kapolres jakarta selatan karena bikin macet jalann,pasca debatpilkadadki kena batu bentak kapolres jakarta selatan karena bikin macet jalann,pasca debatpilkadadki kena batu bentak kapolres jakarta selatan bikin macet jalann,pasca debatpilkadadki kena batunya dibentak kapolres jakarta selatan bikin macet jalann
263,"rt @teddygusnaidi: 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",0," 28. kalau gunakan fantasi anies, maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakart\u2026",  kalau gunakan fantasi anies maka anies bisa menuding bhw ali sadikin bapaknya boy sadikin gak beres memimpin jakartu,kalau gunakan fantasi anies maka anies bisa menuding bahwa ali sadikin bapaknya boy sadikin tidak beres memimpin jakartu,kalau guna fantasi anies maka anies bisa tuding bahwa ali sadikin bapak boy sadikin tidak beres pimpin jakartu,fantasi anies anies tuding ali sadikin boy sadikin beres pimpin jakartu,fantasi anies anies menuding ali sadikin bapaknya boy sadikin beres memimpin jakartu
264,rt @teddygusnaidi: terbukti ucapan ahok bhw kementerian @aniesbaswedan dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \nhttps\u2026,0, terbukti ucapan ahok bhw kementerian  dapat raport paling buruk. di peringkat 22. #debat2pilkadadki \n, terbukti ucapan ahok bhw kementerian  dapat raport paling buruk di peringkat  debatpilkadadki n,terbukti ucapan ahok bahwa kementerian dapat raport paling buruk di peringkat debatpilkadadki n,bukti ucap ahok bahwa menteri dapat raport paling buruk di peringkat debatpilkadadki n,bukti ahok menteri raport buruk peringkat debatpilkadadki n,terbukti ucapan ahok kementerian raport buruk peringkat debatpilkadadki n
265,"rt @kamvflase: setelah menyaksikan #debat2pilkadadki semalam, siapa yang paling pantas untuk memimpin dki jakarta?",1," setelah menyaksikan #debat2pilkadadki semalam, siapa yang paling pantas untuk memimpin dki jakarta?", setelah menyaksikan debatpilkadadki semalam siapa yang paling pantas untuk memimpin dki jakarta,setelah menyaksikan debatpilkadadki semalam siapa yang paling pantas untuk memimpin dki jakarta,telah saksi debatpilkadadki malam siapa yang paling pantas untuk pimpin dki jakarta,saksi debatpilkadadki malam pimpin dki jakarta,menyaksikan debatpilkadadki semalam memimpin dki jakarta
266,rt @erikarlebang: keren nih @aniesbaswedan menyerang masalah pendidikan dki terus. cerdas! kenapa gak jadi mendikbud aja ya?\n\n#debat2pilkad\u2026,1, keren nih  menyerang masalah pendidikan dki terus. cerdas! kenapa gak jadi mendikbud aja ya?\n\n#debat2pilkad\u2026, keren nih  menyerang masalah pendidikan dki terus cerdas kenapa gak jadi mendikbud aja yanndebatpilkadu,keren nih menyerang masalah pendidikan dki terus cerdas kenapa tidak jadi mendikbud saja yanndebatpilkadu,keren nih serang masalah didik dki terus cerdas kenapa tidak jadi mendikbud saja yanndebatpilkadu,keren nih serang didik dki cerdas mendikbud yanndebatpilkadu,keren nih menyerang pendidikan dki cerdas mendikbud yanndebatpilkadu
267,"rt @yusuflogen: ahok terkenal sbg gub tdk santun, tp kok kesan saya si ahok paling santun ya hari ini dbanding agus dan anis #debat2pilkada\u2026",1," ahok terkenal sbg gub tdk santun, tp kok kesan saya si ahok paling santun ya hari ini dbanding agus dan anis #debat2pilkada\u2026", ahok terkenal sbg gub tdk santun tp kok kesan saya si ahok paling santun ya hari ini dbanding agus dan anis debatpilkadau,ahok terkenal sebagai gub tidak santun tapi kok kesan saya sih ahok paling santun ya hari ini dbanding agus dan anis debatpilkadau,ahok kenal bagai gub tidak santun tapi kok kesan saya sih ahok paling santun ya hari ini dbanding agus dan anis debatpilkadau,ahok kenal gub santun kesan sih ahok santun ya dbanding agus anis debatpilkadau,ahok terkenal gub santun kesan sih ahok santun ya dbanding agus anis debatpilkadau
268,"rt @teddygusnaidi: lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ",0," lah.. lu monolog sejam yg dihadiri orang2 lu sendiri, dipuja2, knp gak dijelaskan? ngeles aja emg gak bisa\u2026 ", lah lu monolog sejam yg dihadiri orang lu sendiri dipuja knp gak dijelaskan ngeles aja emg gak bisau ,lah kamu monolog sejam yang dihadiri orang kamu sendiri dipuja kenapa tidak dijelaskan ngeles saja memang tidak bisau,lah kamu monolog jam yang hadir orang kamu sendiri puja kenapa tidak jelas ngeles saja memang tidak bisau,monolog jam hadir orang puja ngeles bisau,monolog sejam dihadiri orang dipuja ngeles bisau
